"thing_name","timestamp","gateState","lastSpeedDetected","speedLimit","vehiclePassed"
"RompeMuellesIoT","1750829748638","open","28","20","null"
"RompeMuellesIoT","1750829768305","open","42","20","null"
"RompeMuellesIoT","1750829770936","open","13","20","null"
"RompeMuellesIoT","1750829771004","open","3333","20","null"
"RompeMuellesIoT","1750829772940","open","26","20","null"
"RompeMuellesIoT","1750829797851","close","21","200","null"
"RompeMuellesIoT","1750829797961","close","3333","200","null"
"RompeMuellesIoT","1750829804236","close","14","200","null"
"RompeMuellesIoT","1750829804368","close","3333","20","null"
"RompeMuellesIoT","1750829804513","close","400","20","null"
"RompeMuellesIoT","1750829811161","open","23","20","null"
"RompeMuellesIoT","1750829811281","open","400","20","null"
"RompeMuellesIoT","1750829818833","open","19","20","null"
"RompeMuellesIoT","1750829828605","open","28","20","null"
"RompeMuellesIoT","1750829835298","open","19","20","null"
"RompeMuellesIoT","1750829843051","open","23","20","null"
"RompeMuellesIoT","1750829843157","open","3333","20","null"
"RompeMuellesIoT","1750829855796","open","53","20","null"
"RompeMuellesIoT","1750829859087","open","53","20","null"
"RompeMuellesIoT","1750829859254","open","208","20","null"
"RompeMuellesIoT","1750829877993","close","35","200","null"
"RompeMuellesIoT","1750829883734","close","35","200","null"
"RompeMuellesIoT","1750829886814","close","7","20","null"
"RompeMuellesIoT","1750829888754","close","16","20","null"
"RompeMuellesIoT","1750829888893","close","400","20","null"
"RompeMuellesIoT","1750829896756","close","60","20","null"
"RompeMuellesIoT","1750830040892","close","26","200","null"
"RompeMuellesIoT","1750830040996","close","5000","200","null"
"RompeMuellesIoT","1750830055112","close","2","200","null"
"RompeMuellesIoT","1750830055225","close","3333","20","null"
"RompeMuellesIoT","1750830055329","close","3333","20","null"
"RompeMuellesIoT","1750830072172","open","18","20","null"
"RompeMuellesIoT","1750830079426","open","370","20","null"
"RompeMuellesIoT","1750830080829","open","8","20","null"
"RompeMuellesIoT","1750830087557","open","12","20","null"
